fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#858585	0	0	0 0	1	-0.5	0.5	-0.5	0.5
#B0B0B0	1	0	1 0	2	0.5	1.5	-0.5	0.5
#E0E0E0	3	3	3 3	230	2.5	3.5	2.5	3.5
#E7E7E7	4	3	4 3	343	3.5	4.5	2.5	3.5
#CBCBCB	4	4	4 4	344	3.5	4.5	3.5	4.5
#F2F2F2	5	4	5 4	459	4.5	5.5	3.5	4.5
#FAFAFA	5	5	5 5	460	4.5	5.5	4.5	5.5
#FBFBFB	6	6	6 6	577	5.5	6.5	5.5	6.5
#FDFDFD	7	6	7 6	693	6.5	7.5	5.5	6.5
#FCFCFC	7	7	7 7	694	6.5	7.5	6.5	7.5
#FEFEFE	8	7	8 7	802	7.5	8.5	6.5	7.5
#FDFDFD	8	8	8 8	803	7.5	8.5	7.5	8.5
#FFFFFF	10	10	10 10	6	9.5	10.5	9.5	10.5
#F7F7F7	1	1	1 1	3	0.5	1.5	0.5	1.5
#FCFCFC	2	2	2 2	116	1.5	2.5	1.5	2.5
#FFFFFF	9	9	9 9	834	8.5	9.5	8.5	9.5
#FFFFFF	10	9	10 9	14	9.5	10.5	8.5	9.5
#F7F7F7	2	1	2 1	115	1.5	2.5	0.5	1.5
#F7F7F7	3	2	3 2	229	2.5	3.5	1.5	2.5
#FFFFFF	9	8	9 8	833	8.5	9.5	7.5	8.5
#FDFDFD	6	5	6 5	576	5.5	6.5	4.5	5.5
#A5A5A5	2	0	2 0	114	1.5	2.5	-0.5	0.5
#F8F8F8	3	1	3 1	228	2.5	3.5	0.5	1.5
#EFEFEF	4	2	4 2	342	3.5	4.5	1.5	2.5
#ECECEC	5	3	5 3	458	4.5	5.5	2.5	3.5
#FDFDFD	6	4	6 4	575	5.5	6.5	3.5	4.5
#FFFFFF	8	6	8 6	801	7.5	8.5	5.5	6.5
#FFFFFF	9	7	9 7	832	8.5	9.5	6.5	7.5
#FFFFFF	7	5	7 5	692	6.5	7.5	4.5	5.5
#A9A9A9	3	0	3 0	227	2.5	3.5	-0.5	0.5
#EDEDED	4	1	4 1	341	3.5	4.5	0.5	1.5
#FCFCFC	7	4	7 4	691	6.5	7.5	3.5	4.5
#FFFFFF	8	5	8 5	800	7.5	8.5	4.5	5.5
#FFFFFF	10	7	10 7	12	9.5	10.5	6.5	7.5
#F2F2F2	5	2	5 2	457	4.5	5.5	1.5	2.5
#A9A9A9	6	3	6 3	574	5.5	6.5	2.5	3.5
#9F9F9F	4	0	4 0	340	3.5	4.5	-0.5	0.5
#D1D1D1	5	1	5 1	456	4.5	5.5	0.5	1.5
#9D9D9D	6	2	6 2	573	5.5	6.5	1.5	2.5
#FBFBFB	7	3	7 3	690	6.5	7.5	2.5	3.5
#A1A1A1	5	0	5 0	455	4.5	5.5	-0.5	0.5
#FAFAFA	8	3	8 3	798	7.5	8.5	2.5	3.5
#CCCCCC	6	1	6 1	572	5.5	6.5	0.5	1.5
#B6B6B6	7	2	7 2	689	6.5	7.5	1.5	2.5
#505050	6	0	6 0	571	5.5	6.5	-0.5	0.5
#828282	7	1	7 1	688	6.5	7.5	0.5	1.5
#F4F4F4	8	2	8 2	797	7.5	8.5	1.5	2.5
#F8F8F8	9	3	9 3	828	8.5	9.5	2.5	3.5
#FCFCFC	9	4	9 4	829	8.5	9.5	3.5	4.5
#E9E9E9	9	2	9 2	827	8.5	9.5	1.5	2.5
#1B1B1B	7	0	7 0	687	6.5	7.5	-0.5	0.5
#DBDBDB	8	1	8 1	796	7.5	8.5	0.5	1.5
#FBFBFB	10	3	10 3	8	9.5	10.5	2.5	3.5
#FDFDFD	10	4	10 4	9	9.5	10.5	3.5	4.5
#FEFEFE	11	5	11 5	21	10.5	11.5	4.5	5.5
#FCFCFC	11	4	11 4	20	10.5	11.5	3.5	4.5
#FEFEFE	17	10	17 10	83	16.5	17.5	9.5	10.5
#5C5C5C	8	0	8 0	795	7.5	8.5	-0.5	0.5
#EDEDED	10	2	10 2	7	9.5	10.5	1.5	2.5
#F9F9F9	11	3	11 3	19	10.5	11.5	2.5	3.5
#A9A9A9	9	1	9 1	826	8.5	9.5	0.5	1.5
#FDFDFD	12	4	12 4	31	11.5	12.5	3.5	4.5
#FDFDFD	13	5	13 5	43	12.5	13.5	4.5	5.5
